Thu Aug 26 03:20:08 2021,334,202,13,2
Thu Aug 26 03:20:08 2021,135,14,0,2
Thu Aug 26 03:20:08 2021,94,56,36,2
Thu Aug 26 03:20:08 2021,76,288,71,2
Thu Aug 26 03:20:08 2021,51,399,103,2
Thu Aug 26 03:20:08 2021,40,425,230,2
Thu Aug 26 03:20:08 2021,87,398,30,2
Thu Aug 26 03:20:09 2021,172,428,99,2
Thu Aug 26 03:20:09 2021,325,436,90,2
Thu Aug 26 03:20:09 2021,333,429,72,2
Thu Aug 26 03:20:09 2021,335,423,470,2
Thu Aug 26 03:20:09 2021,336,421,758,1
Thu Aug 26 03:20:09 2021,336,428,718,1
Thu Aug 26 03:20:09 2021,336,413,822,1
Thu Aug 26 03:20:09 2021,336,476,993,1
Thu Aug 26 03:20:09 2021,336,420,896,1
Thu Aug 26 03:20:09 2021,336,449,976,1
Thu Aug 26 03:20:09 2021,336,421,966,1
Thu Aug 26 03:20:09 2021,336,432,977,1
Thu Aug 26 03:20:09 2021,336,434,985,1
Thu Aug 26 03:20:09 2021,336,432,1007,1
Thu Aug 26 03:20:09 2021,336,435,971,1
Thu Aug 26 03:20:09 2021,336,406,1023,1
Thu Aug 26 03:20:09 2021,336,376,997,1
Thu Aug 26 03:20:09 2021,336,419,995,1
Thu Aug 26 03:20:09 2021,336,409,985,1
Thu Aug 26 03:20:09 2021,335,411,979,1
Thu Aug 26 03:20:10 2021,336,405,983,1
Thu Aug 26 03:20:10 2021,336,397,1002,1
Thu Aug 26 03:20:10 2021,336,403,960,1
Thu Aug 26 03:20:10 2021,336,436,955,1
Thu Aug 26 03:20:10 2021,336,414,819,1
Thu Aug 26 03:20:10 2021,336,380,1008,1
Thu Aug 26 03:20:10 2021,336,372,984,1
Thu Aug 26 03:20:10 2021,336,384,974,1
Thu Aug 26 03:20:10 2021,336,378,987,1
Thu Aug 26 03:20:10 2021,336,381,915,1
Thu Aug 26 03:20:10 2021,336,383,964,1
Thu Aug 26 03:20:10 2021,336,360,984,1
Thu Aug 26 03:20:10 2021,335,375,983,1
Thu Aug 26 03:20:10 2021,336,330,981,1
Thu Aug 26 03:20:10 2021,336,364,978,1
Thu Aug 26 03:20:10 2021,336,350,983,1
Thu Aug 26 03:20:10 2021,336,364,978,1
Thu Aug 26 03:20:10 2021,336,348,979,1
Thu Aug 26 03:20:10 2021,336,354,1023,1
Thu Aug 26 03:20:11 2021,336,364,999,1
Thu Aug 26 03:20:11 2021,336,348,1023,1
Thu Aug 26 03:20:11 2021,336,350,1023,1
Thu Aug 26 03:20:11 2021,336,381,987,1
Thu Aug 26 03:20:11 2021,336,381,970,1
Thu Aug 26 03:20:11 2021,336,372,975,1
Thu Aug 26 03:20:11 2021,336,377,1005,1
Thu Aug 26 03:20:11 2021,336,397,935,1
Thu Aug 26 03:20:11 2021,336,376,323,0
Thu Aug 26 03:20:11 2021,336,350,0,0
Thu Aug 26 03:20:11 2021,336,359,0,0
Thu Aug 26 03:20:11 2021,336,330,18,0
Thu Aug 26 03:20:11 2021,336,308,10,0
Thu Aug 26 03:20:11 2021,336,262,0,0
Thu Aug 26 03:20:11 2021,336,248,15,0
Thu Aug 26 03:20:11 2021,336,250,0,0
Thu Aug 26 03:20:11 2021,336,238,5,0
Thu Aug 26 03:20:11 2021,336,236,0,0
Thu Aug 26 03:20:11 2021,336,194,48,0
Thu Aug 26 03:20:11 2021,336,242,85,0
Thu Aug 26 03:20:12 2021,336,227,80,0
Thu Aug 26 03:20:12 2021,336,214,3,0
Thu Aug 26 03:20:12 2021,336,213,2,0
Thu Aug 26 03:20:12 2021,336,210,11,0
Thu Aug 26 03:20:12 2021,336,215,16,0
Thu Aug 26 03:20:12 2021,336,226,5,0
Thu Aug 26 03:20:12 2021,336,181,60,0
Thu Aug 26 03:20:12 2021,336,165,97,0
Thu Aug 26 03:20:12 2021,335,193,0,0
Thu Aug 26 03:20:12 2021,336,148,0,0
Thu Aug 26 03:20:12 2021,336,174,17,0
Thu Aug 26 03:20:12 2021,335,167,5,0
Thu Aug 26 03:20:12 2021,336,173,0,0
Thu Aug 26 03:20:12 2021,336,150,0,0
Thu Aug 26 03:20:12 2021,336,160,13,0
Thu Aug 26 03:20:12 2021,336,141,0,0
Thu Aug 26 03:20:12 2021,336,186,0,0
Thu Aug 26 03:20:12 2021,336,98,0,0
Thu Aug 26 03:20:12 2021,336,174,63,0
Thu Aug 26 03:20:12 2021,336,151,0,0
Thu Aug 26 03:20:13 2021,336,152,3,0
Thu Aug 26 03:20:13 2021,336,151,4,0
Thu Aug 26 03:20:13 2021,336,151,12,0
Thu Aug 26 03:20:13 2021,336,139,51,0
Thu Aug 26 03:20:13 2021,336,166,2,0
Thu Aug 26 03:20:13 2021,336,150,10,0
Thu Aug 26 03:20:13 2021,336,182,90,0
Thu Aug 26 03:20:13 2021,336,148,0,0
Thu Aug 26 03:20:13 2021,336,149,0,0
Thu Aug 26 03:20:13 2021,336,126,0,0
Thu Aug 26 03:20:13 2021,336,146,0,0
Thu Aug 26 03:20:13 2021,335,113,0,0
Thu Aug 26 03:20:13 2021,336,115,2,0
Thu Aug 26 03:20:13 2021,336,143,0,0
Thu Aug 26 03:20:13 2021,336,116,75,0
Thu Aug 26 03:20:13 2021,336,101,101,0
Thu Aug 26 03:20:13 2021,336,105,23,0
Thu Aug 26 03:20:13 2021,336,144,13,0
Thu Aug 26 03:20:13 2021,336,140,21,0
Thu Aug 26 03:20:14 2021,336,148,5,0
Thu Aug 26 03:20:14 2021,336,145,3,0
Thu Aug 26 03:20:14 2021,336,152,4,0
Thu Aug 26 03:20:14 2021,336,129,2,0
Thu Aug 26 03:20:14 2021,336,106,25,0
Thu Aug 26 03:20:14 2021,336,147,0,0
Thu Aug 26 03:20:14 2021,336,146,0,0
Thu Aug 26 03:20:14 2021,336,111,0,0
Thu Aug 26 03:20:14 2021,336,110,0,0
Thu Aug 26 03:20:14 2021,336,112,7,0
Thu Aug 26 03:20:14 2021,335,113,0,0
Thu Aug 26 03:20:14 2021,336,111,5,0
Thu Aug 26 03:20:14 2021,336,108,4,0
Thu Aug 26 03:20:14 2021,336,72,24,0
Thu Aug 26 03:20:14 2021,336,85,24,0
Thu Aug 26 03:20:14 2021,336,117,123,0
Thu Aug 26 03:20:14 2021,336,140,0,0
Thu Aug 26 03:20:14 2021,336,110,14,0
Thu Aug 26 03:20:14 2021,336,116,19,0
Thu Aug 26 03:20:14 2021,336,116,21,0
Thu Aug 26 03:20:15 2021,335,107,65,0
Thu Aug 26 03:20:15 2021,335,69,32,0
Thu Aug 26 03:20:15 2021,335,127,101,0
Thu Aug 26 03:20:15 2021,336,128,0,0
Thu Aug 26 03:20:15 2021,335,137,14,0
Thu Aug 26 03:20:15 2021,335,115,0,0
Thu Aug 26 03:20:15 2021,335,120,0,0
Thu Aug 26 03:20:15 2021,336,110,7,0
Thu Aug 26 03:20:15 2021,336,119,0,0
Thu Aug 26 03:20:15 2021,336,119,4,0
Thu Aug 26 03:20:15 2021,336,122,0,0
Thu Aug 26 03:20:15 2021,335,70,84,0
Thu Aug 26 03:20:15 2021,336,117,0,0
Thu Aug 26 03:20:15 2021,336,122,12,0
Thu Aug 26 03:20:15 2021,336,120,2,0
Thu Aug 26 03:20:15 2021,336,116,19,0
Thu Aug 26 03:20:15 2021,335,127,0,0
Thu Aug 26 03:20:15 2021,336,122,12,0
Thu Aug 26 03:20:15 2021,336,118,24,0
Thu Aug 26 03:20:15 2021,336,144,4,0
Thu Aug 26 03:20:16 2021,335,153,0,0
Thu Aug 26 03:20:16 2021,336,151,0,0
Thu Aug 26 03:20:16 2021,336,129,0,0
Thu Aug 26 03:20:16 2021,336,115,0,0
Thu Aug 26 03:20:16 2021,336,116,5,0
Thu Aug 26 03:20:16 2021,336,104,3,0
Thu Aug 26 03:20:16 2021,336,116,0,0
Thu Aug 26 03:20:16 2021,336,114,0,0
Thu Aug 26 03:20:16 2021,336,122,0,0
Thu Aug 26 03:20:16 2021,336,80,0,0
Thu Aug 26 03:20:16 2021,336,68,0,0
Thu Aug 26 03:20:16 2021,336,125,102,0
Thu Aug 26 03:20:16 2021,336,104,1,0
Thu Aug 26 03:20:16 2021,336,112,16,0
Thu Aug 26 03:20:16 2021,336,112,6,0
Thu Aug 26 03:20:16 2021,336,111,14,0
Thu Aug 26 03:20:16 2021,336,104,12,0
Thu Aug 26 03:20:16 2021,336,88,51,0
Thu Aug 26 03:20:16 2021,336,70,0,0
Thu Aug 26 03:20:17 2021,336,86,51,0
Thu Aug 26 03:20:17 2021,336,98,77,0
Thu Aug 26 03:20:17 2021,336,121,16,0
Thu Aug 26 03:20:17 2021,336,108,8,0
Thu Aug 26 03:20:17 2021,335,107,13,0
Thu Aug 26 03:20:17 2021,336,100,9,0
Thu Aug 26 03:20:17 2021,336,119,5,0
Thu Aug 26 03:20:17 2021,336,103,32,0
Thu Aug 26 03:20:17 2021,336,89,121,0
Thu Aug 26 03:20:17 2021,336,72,90,0
Thu Aug 26 03:20:17 2021,336,96,24,0
Thu Aug 26 03:20:17 2021,336,102,158,0
Thu Aug 26 03:20:17 2021,336,144,86,0
Thu Aug 26 03:20:17 2021,336,60,848,1
Thu Aug 26 03:20:17 2021,336,39,976,1
Thu Aug 26 03:20:17 2021,336,37,995,1
Thu Aug 26 03:20:17 2021,336,65,934,1
Thu Aug 26 03:20:17 2021,336,109,987,1
Thu Aug 26 03:20:17 2021,336,115,972,1
Thu Aug 26 03:20:18 2021,336,88,976,1
Thu Aug 26 03:20:18 2021,336,69,972,1
Thu Aug 26 03:20:18 2021,336,76,975,1
Thu Aug 26 03:20:18 2021,336,80,958,1
Thu Aug 26 03:20:18 2021,336,83,965,1
Thu Aug 26 03:20:18 2021,336,86,990,1
Thu Aug 26 03:20:18 2021,336,64,992,1
Thu Aug 26 03:20:18 2021,336,43,962,1
Thu Aug 26 03:20:18 2021,336,92,988,1
Thu Aug 26 03:20:18 2021,336,81,967,1
Thu Aug 26 03:20:18 2021,335,75,956,1
Thu Aug 26 03:20:18 2021,336,83,964,1
Thu Aug 26 03:20:18 2021,336,91,964,1
Thu Aug 26 03:20:18 2021,336,92,958,1
Thu Aug 26 03:20:18 2021,336,69,977,1
Thu Aug 26 03:20:18 2021,336,111,719,1
Thu Aug 26 03:20:18 2021,336,86,978,1
Thu Aug 26 03:20:18 2021,336,69,971,1
Thu Aug 26 03:20:18 2021,336,92,985,1
Thu Aug 26 03:20:18 2021,336,86,965,1
Thu Aug 26 03:20:19 2021,336,100,951,1
Thu Aug 26 03:20:19 2021,336,88,966,1
Thu Aug 26 03:20:19 2021,336,77,999,1
Thu Aug 26 03:20:19 2021,336,81,1023,1
Thu Aug 26 03:20:19 2021,335,120,895,1
Thu Aug 26 03:20:19 2021,336,45,927,1
Thu Aug 26 03:20:19 2021,336,85,935,1
Thu Aug 26 03:20:19 2021,336,81,976,1
Thu Aug 26 03:20:19 2021,336,72,960,1
Thu Aug 26 03:20:19 2021,336,79,960,1
Thu Aug 26 03:20:19 2021,336,92,970,1
Thu Aug 26 03:20:19 2021,336,82,964,1
Thu Aug 26 03:20:19 2021,336,121,748,1
Thu Aug 26 03:20:19 2021,336,55,1003,1
Thu Aug 26 03:20:19 2021,336,104,896,1
Thu Aug 26 03:20:19 2021,335,65,979,1
Thu Aug 26 03:20:19 2021,335,72,972,1
Thu Aug 26 03:20:19 2021,336,79,975,1
Thu Aug 26 03:20:19 2021,336,85,960,1
Thu Aug 26 03:20:20 2021,336,78,861,1
Thu Aug 26 03:20:20 2021,336,115,784,1
Thu Aug 26 03:20:20 2021,336,54,947,1
Thu Aug 26 03:20:20 2021,336,53,933,1
Thu Aug 26 03:20:20 2021,336,29,925,1
Thu Aug 26 03:20:20 2021,336,48,846,1
Thu Aug 26 03:20:20 2021,336,23,791,1
Thu Aug 26 03:20:20 2021,336,34,688,0
Thu Aug 26 03:20:20 2021,336,23,626,0
Thu Aug 26 03:20:20 2021,335,46,462,0
Thu Aug 26 03:20:20 2021,41,36,63,2
Thu Aug 26 03:20:20 2021,39,6,0,2
Thu Aug 26 03:20:20 2021,38,6,11,2
Thu Aug 26 03:20:20 2021,38,4,0,2
Thu Aug 26 03:20:20 2021,36,439,10,2
Thu Aug 26 03:20:20 2021,35,879,39,2
Thu Aug 26 03:20:20 2021,31,902,40,2
Thu Aug 26 03:20:20 2021,21,890,127,2
Thu Aug 26 03:20:20 2021,12,875,0,2
Thu Aug 26 03:20:21 2021,1,889,0,2
Thu Aug 26 03:20:21 2021,4,838,68,2
Thu Aug 26 03:20:21 2021,76,826,19,2
Thu Aug 26 03:20:21 2021,333,790,32,2
Thu Aug 26 03:20:21 2021,193,807,24,2
Thu Aug 26 03:20:21 2021,155,793,22,2
Thu Aug 26 03:20:21 2021,102,771,21,2
Thu Aug 26 03:20:21 2021,88,775,0,2
Thu Aug 26 03:20:21 2021,96,802,0,2
